track_id,name,artist,album,release_date,popularity,spotify_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,mood_score
4zoX3LlawbsCyFmc3jyaZg,Punjabi Queen,Sliime,Punjabi Queen,2024-08-22,39,https://open.spotify.com/track/4zoX3LlawbsCyFmc3jyaZg,-0.3246356886862475,0.5214754147504592,7,-6.528,1,0.377,-1.0225611094727503,-0.14322541025663008,0.101,-0.1985283375630065,0.3119619227489161,audio_features,spotify:track:4zoX3LlawbsCyFmc3jyaZg,https://api.spotify.com/v1/tracks/4zoX3LlawbsCyFmc3jyaZg,https://api.spotify.com/v1/audio-analysis/4zoX3LlawbsCyFmc3jyaZg,146939,5,0.16147353859372637
0p0ZY6i0RsjZwQvEsW7p8I,Half Window Down,Ikka,Half Window Down - Single,2016-01-13,27,https://open.spotify.com/track/0p0ZY6i0RsjZwQvEsW7p8I,0.9856173585039317,0.6717305117251186,3,-5.493,0,0.182,-0.4423578588702957,-0.14271860083205784,0.751,0.7225564330922178,1.0578171623523327,audio_features,spotify:track:0p0ZY6i0RsjZwQvEsW7p8I,https://api.spotify.com/v1/tracks/0p0ZY6i0RsjZwQvEsW7p8I,https://api.spotify.com/v1/audio-analysis/0p0ZY6i0RsjZwQvEsW7p8I,215327,4,0.6971434724086683
4PhfiXFb3js7Kij4n09Fh2,Skip,Real Boss,Deja Vu,2024-10-15,28,https://open.spotify.com/track/4PhfiXFb3js7Kij4n09Fh2,0.5204387618683654,-0.6617834739249827,1,-10.095,1,0.394,1.609475330481624,-0.12618907993739364,0.105,-2.4105134142915285,0.10808785140429464,audio_features,spotify:track:4PhfiXFb3js7Kij4n09Fh2,https://api.spotify.com/v1/tracks/4PhfiXFb3js7Kij4n09Fh2,https://api.spotify.com/v1/audio-analysis/4PhfiXFb3js7Kij4n09Fh2,92000,4,-1.5361484441082556
69vbni6QGflWHbLmhL3j3m,WAKE UP,Gurinder Gill,HARD CHOICES,2023-06-09,56,https://open.spotify.com/track/69vbni6QGflWHbLmhL3j3m,0.3963911360988808,-0.555352780234599,7,-9.769,1,0.132,-1.0135089042256096,-0.14105092387417476,0.704,0.6995293138258372,-1.2801889047145538,audio_features,spotify:track:69vbni6QGflWHbLmhL3j3m,https://api.spotify.com/v1/tracks/69vbni6QGflWHbLmhL3j3m,https://api.spotify.com/v1/audio-analysis/69vbni6QGflWHbLmhL3j3m,153175,4,0.07208826679561908
2K82VcYXD0fzFfLhYadvCC,Sushi // Woofer Paar De! (feat. Mykko Montana),Ali Zafar,Sushi // Woofer Paar De! (feat. Mykko Montana),2023-09-22,22,https://open.spotify.com/track/2K82VcYXD0fzFfLhYadvCC,0.791792943239113,-0.03572056986390267,10,-4.323,0,0.0913,-0.9471260657465769,-0.14322541025663008,0.0725,-0.014311383431961939,0.46700431310987983,audio_features,spotify:track:2K82VcYXD0fzFfLhYadvCC,https://api.spotify.com/v1/tracks/2K82VcYXD0fzFfLhYadvCC,https://api.spotify.com/v1/audio-analysis/2K82VcYXD0fzFfLhYadvCC,127385,4,-0.025015976647932307
1C7nptPXHHUbByNpQwcbZX,Wonderland,Zora Randhawa,Lakeeran,2016-10-07,47,https://open.spotify.com/track/1C7nptPXHHUbByNpQwcbZX,0.7297691303543706,1.6108248678167383,2,-3.355,1,0.205,-0.5027058938512347,-0.04511669394585142,0.306,1.7035117138400317,1.9691735718479235,audio_features,spotify:track:1C7nptPXHHUbByNpQwcbZX,https://api.spotify.com/v1/tracks/1C7nptPXHHUbByNpQwcbZX,https://api.spotify.com/v1/audio-analysis/1C7nptPXHHUbByNpQwcbZX,181846,4,1.657168290828385
263DCZpsPnrGeRKRm4lF5d,Tere Layi,Babbal Rai,Girlfriend,2014-02-05,28,https://open.spotify.com/track/263DCZpsPnrGeRKRm4lF5d,-0.5804839168358095,0.6779911407657294,10,-5.148,0,0.0421,0.6352856229321833,-0.14048589985353677,0.0681,0.017926583540970948,1.6160635360200117,audio_features,spotify:track:263DCZpsPnrGeRKRm4lF5d,https://api.spotify.com/v1/tracks/263DCZpsPnrGeRKRm4lF5d,https://api.spotify.com/v1/audio-analysis/263DCZpsPnrGeRKRm4lF5d,305925,4,0.3479588621533502
2QfUhWY2m7X7aURqUPfxEp,Milky Way,Harkirat Sangha,Milky Way,2024-09-05,49,https://open.spotify.com/track/2QfUhWY2m7X7aURqUPfxEp,0.8305578262920769,-0.8182991999402529,8,-8.271,0,0.0703,0.9628892414001367,-0.14312815763732029,0.109,-0.3044530861883574,-1.1457394906029759,audio_features,spotify:track:2QfUhWY2m7X7aURqUPfxEp,https://api.spotify.com/v1/tracks/2QfUhWY2m7X7aURqUPfxEp,https://api.spotify.com/v1/audio-analysis/2QfUhWY2m7X7aURqUPfxEp,139752,3,-0.5613761430643052
7q41UqKY8Oj6ruvtjuEghb,Somebody,Mickey Singh,Somebody,2024-09-17,42,https://open.spotify.com/track/7q41UqKY8Oj6ruvtjuEghb,0.7607810367967418,-0.5616134092752099,11,-5.554,0,0.126,-0.13630711003839172,-0.14322541025663008,0.124,-1.5341012550130821,-0.9765236507393704,audio_features,spotify:track:7q41UqKY8Oj6ruvtjuEghb,https://api.spotify.com/v1/tracks/7q41UqKY8Oj6ruvtjuEghb,https://api.spotify.com/v1/audio-analysis/7q41UqKY8Oj6ruvtjuEghb,174333,4,-1.047857332144146
7dpaCzQWp4xSGwINmnRHLt,Aflatoon,Iqbal,OLD YOUNGS,2024-08-24,36,https://open.spotify.com/track/7dpaCzQWp4xSGwINmnRHLt,0.14829588455991163,-0.361273279975664,11,-10.772,1,0.4,-0.7923764617597409,-0.14322541025663008,0.236,0.3541225248301282,-0.6274889324529307,audio_features,spotify:track:7dpaCzQWp4xSGwINmnRHLt,https://api.spotify.com/v1/tracks/7dpaCzQWp4xSGwINmnRHLt,https://api.spotify.com/v1/audio-analysis/7dpaCzQWp4xSGwINmnRHLt,184756,4,-0.003575377572767907
