track_id,name,artist,album,release_date,popularity,spotify_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
6zMWAKMDVH1uHHDOrm2RdL,BYAK,Alvaro Diaz,SAYONARA,2024-05-17,65,https://open.spotify.com/track/6zMWAKMDVH1uHHDOrm2RdL,0.882,0.697,1,-3.756,1,0.0626,0.208,1.09e-05,0.0847,0.758,99.984,audio_features,spotify:track:6zMWAKMDVH1uHHDOrm2RdL,https://api.spotify.com/v1/tracks/6zMWAKMDVH1uHHDOrm2RdL,https://api.spotify.com/v1/audio-analysis/6zMWAKMDVH1uHHDOrm2RdL,216347,4
1eMXh9WqMtnmeyZnig2NUA,Maquillaje - Remix,Renn,Maquillaje (feat. Yexel) [Remix],2024-05-30,67,https://open.spotify.com/track/1eMXh9WqMtnmeyZnig2NUA,0.716,0.723,10,-4.202,1,0.0636,0.0537,0.00769,0.109,0.826,170.031,audio_features,spotify:track:1eMXh9WqMtnmeyZnig2NUA,https://api.spotify.com/v1/tracks/1eMXh9WqMtnmeyZnig2NUA,https://api.spotify.com/v1/audio-analysis/1eMXh9WqMtnmeyZnig2NUA,286284,4
1S2WWT5jW9J3MauQ7r7qN4,Lollipop - Remix,Darell,Lollipop (Remix),2024-02-15,65,https://open.spotify.com/track/1S2WWT5jW9J3MauQ7r7qN4,0.846,0.738,3,-4.537,0,0.0803,0.234,0.0,0.0987,0.949,102.978,audio_features,spotify:track:1S2WWT5jW9J3MauQ7r7qN4,https://api.spotify.com/v1/tracks/1S2WWT5jW9J3MauQ7r7qN4,https://api.spotify.com/v1/audio-analysis/1S2WWT5jW9J3MauQ7r7qN4,266616,4
3kmWIej9tXjSWWYc9tPjJk,COCO LOCO,Maluma,COCO LOCO,2023-06-08,64,https://open.spotify.com/track/3kmWIej9tXjSWWYc9tPjJk,0.783,0.868,7,-2.961,0,0.0591,0.19,0.0,0.165,0.727,109.977,audio_features,spotify:track:3kmWIej9tXjSWWYc9tPjJk,https://api.spotify.com/v1/tracks/3kmWIej9tXjSWWYc9tPjJk,https://api.spotify.com/v1/audio-analysis/3kmWIej9tXjSWWYc9tPjJk,166735,4
7yci6r0cjX0Np5AshDZOsR,DE LUNES A LUNES,Manuel Turizo,DE LUNES A LUNES,2023-08-24,63,https://open.spotify.com/track/7yci6r0cjX0Np5AshDZOsR,0.574,0.801,0,-3.728,1,0.0393,0.58,0.0,0.496,0.77,132.538,audio_features,spotify:track:7yci6r0cjX0Np5AshDZOsR,https://api.spotify.com/v1/tracks/7yci6r0cjX0Np5AshDZOsR,https://api.spotify.com/v1/audio-analysis/7yci6r0cjX0Np5AshDZOsR,188412,4
2SaRD7OpQ2A9ZeCOntar0g,Touching The Sky,Rauw Alejandro,Touching The Sky,2024-05-23,62,https://open.spotify.com/track/2SaRD7OpQ2A9ZeCOntar0g,0.775,0.783,5,-3.509,1,0.0748,0.0413,1.4e-05,0.348,0.624,128.028,audio_features,spotify:track:2SaRD7OpQ2A9ZeCOntar0g,https://api.spotify.com/v1/tracks/2SaRD7OpQ2A9ZeCOntar0g,https://api.spotify.com/v1/audio-analysis/2SaRD7OpQ2A9ZeCOntar0g,187517,4
2B1S3g2M4qObq4pTzuEYGD,SI SABE FERXXO,Blessd,SI SABE FERXXO,2024-01-24,61,https://open.spotify.com/track/2B1S3g2M4qObq4pTzuEYGD,0.726,0.831,8,-2.035,0,0.12,0.0139,3.71e-06,0.0891,0.489,95.997,audio_features,spotify:track:2B1S3g2M4qObq4pTzuEYGD,https://api.spotify.com/v1/tracks/2B1S3g2M4qObq4pTzuEYGD,https://api.spotify.com/v1/audio-analysis/2B1S3g2M4qObq4pTzuEYGD,152500,4
3pqEJlyY1HOdYIq5GHB4bp,Torai,Grupo Marca Registrada,THE GOAT,2024-05-30,61,https://open.spotify.com/track/3pqEJlyY1HOdYIq5GHB4bp,0.701,0.734,6,-5.909,0,0.0715,0.0538,3.97e-06,0.202,0.419,130.073,audio_features,spotify:track:3pqEJlyY1HOdYIq5GHB4bp,https://api.spotify.com/v1/tracks/3pqEJlyY1HOdYIq5GHB4bp,https://api.spotify.com/v1/audio-analysis/3pqEJlyY1HOdYIq5GHB4bp,155077,4
3zKMajDXwhD68TnmMOnCPM,En Esta Boca,Kany García,En Esta Boca,2024-02-22,60,https://open.spotify.com/track/3zKMajDXwhD68TnmMOnCPM,0.803,0.665,4,-6.601,0,0.0392,0.583,0.0,0.155,0.932,140.032,audio_features,spotify:track:3zKMajDXwhD68TnmMOnCPM,https://api.spotify.com/v1/tracks/3zKMajDXwhD68TnmMOnCPM,https://api.spotify.com/v1/audio-analysis/3zKMajDXwhD68TnmMOnCPM,170742,4
427yd0A6Tkq8p2RYP4NeVn,Quédate Bebé,Grupo Frontera,Quédate Bebé,2024-02-15,58,https://open.spotify.com/track/427yd0A6Tkq8p2RYP4NeVn,0.67,0.752,9,-5.596,1,0.0408,0.248,0.0,0.0599,0.808,90.342,audio_features,spotify:track:427yd0A6Tkq8p2RYP4NeVn,https://api.spotify.com/v1/tracks/427yd0A6Tkq8p2RYP4NeVn,https://api.spotify.com/v1/audio-analysis/427yd0A6Tkq8p2RYP4NeVn,193259,4
